id,propertyType,title,locationId,price,size,hasParking,roomNumber,bathNumber,hasSwimmingPool,hasTerrace,hasGarden,hasLift,isGoodCondition,isNeedsRenovating,isNewDevelopment,featureTags,heatingType,interiorExterior,floor,area_name
98301607,piso,ático en venta en calle navas del rey,0-EU-ES-28-07-001-079-10,329900,133.0,1,3,2,0,1,0,0,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 2ª,Latina
94565812,piso,piso en venta en calle de sagasta,0-EU-ES-28-07-001-079-07,899000,110.0,0,2,2,0,0,0,1,1,0,0,[],no info,exterior,planta 3ª,Chamberí
98249496,piso,"dúplex en venta en calle del padre damián, 31",0-EU-ES-28-07-001-079-05,650000,136.0,1,3,2,0,0,1,1,1,0,0,[],Calefacción individual,exterior,planta 1ª,Chamartín
96847042,piso,piso en venta en sol,0-EU-ES-28-07-001-079-01,1875000,293.0,0,4,5,0,0,0,1,1,0,0,['Lujo'],Calefacción individual: Gas natural,exterior,no info,Centro
39873544,piso,"piso en venta en calle de embajadores, 292",0-EU-ES-28-07-001-079-02,468888,107.0,1,2,2,1,0,1,1,1,0,0,['Lujo'],Calefacción individual: Gas natural,exterior,planta 4ª,Arganzuela
98204692,piso,piso en venta en calle de alcántara,0-EU-ES-28-07-001-079-04,925000,108.0,0,2,2,0,0,0,1,1,0,0,['Lujo'],Calefacción individual,exterior,planta 3ª,Barrio de Salamanca
97623769,piso,piso en venta en calle de lagasca,0-EU-ES-28-07-001-079-04,750000,90.0,0,2,2,0,0,0,1,1,0,0,['Lujo'],Calefacción individual: Gas natural,exterior,planta 1ª,Barrio de Salamanca
98216811,piso,piso en venta en calle del marqués de viana,0-EU-ES-28-07-001-079-06,269900,68.0,0,2,1,0,1,0,0,1,0,0,[],Calefacción individual: Eléctrica,exterior,planta 1ª,Tetuán
98280740,piso,piso en venta en calle de salas barbadillo,0-EU-ES-28-07-001-079-15,155000,62.0,0,3,1,0,1,0,0,0,1,0,[],Calefacción individual,exterior,planta 4ª,Ciudad Lineal
97872657,piso,piso en venta en lista,0-EU-ES-28-07-001-079-04,2700000,319.0,0,3,3,0,1,0,1,1,0,0,['Lujo'],Calefacción central: Gas,exterior,planta 2ª,Barrio de Salamanca
98500976,piso,"piso en venta en calle anastasio aroca, 7",0-EU-ES-28-07-001-079-05,179500,50.0,0,2,1,0,1,0,1,1,0,0,[],Calefacción individual: Gas natural,interior,bajo,Chamartín
98117020,piso,"piso en venta en severino aznar embid, 1",0-EU-ES-28-07-001-079-10,118000,76.0,0,2,1,0,0,0,1,1,0,0,[],no info,exterior,bajo,Latina
97282771,piso,piso en venta en tres olivos - valverde,0-EU-ES-28-07-001-079-08,200000,80.0,0,2,1,0,0,0,0,1,0,0,[],Calefacción individual: Gas natural,no info,planta 1ª,Fuencarral
98137688,piso,piso en venta en calle de ángel múgica,0-EU-ES-28-07-001-079-08,164000,55.0,0,2,1,0,0,0,0,1,0,0,[],Calefacción individual: Bomba de frío/calor,exterior,planta 4ª,Fuencarral
97767596,chalet,chalet pareado en venta en peñagrande,0-EU-ES-28-07-001-079-08,975000,235.0,1,5,3,0,1,1,0,0,1,0,[],Calefacción individual: Eléctrica,does not apply,does not apply,Fuencarral
98466392,piso,piso en venta en calle de arturo soria,0-EU-ES-28-07-001-079-15,625000,132.0,1,4,3,1,0,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 11ª,Ciudad Lineal
95355401,piso,piso en venta en calvario,0-EU-ES-28-07-001-079-01,310000,87.0,0,3,2,0,0,0,0,1,0,0,[],Calefacción individual: Eléctrica,exterior,planta 4ª,Centro
93481617,piso,piso en venta en calle de lagasca,0-EU-ES-28-07-001-079-04,4500000,654.0,0,5,2,0,1,0,1,1,0,0,['Lujo'],Calefacción individual,exterior,planta 1ª,Barrio de Salamanca
97957779,piso,"dúplex en venta en paseo talleres , 17",0-EU-ES-28-07-001-079-17,307000,110.0,1,3,2,0,1,0,1,0,0,1,[],no info,exterior,bajo,Villaverde
93069671,piso,"piso en venta en cuesta de san vicente, 34",0-EU-ES-28-07-001-079-09,468000,100.0,0,2,2,0,0,0,1,1,0,0,[],Calefacción central: Gas,exterior,planta 6ª,Moncloa
95930595,piso,piso en venta en calle de belmonte de tajo,0-EU-ES-28-07-001-079-11,163000,75.0,0,2,2,0,0,0,0,1,0,0,[],Calefacción individual: Bomba de frío/calor,exterior,bajo,Carabanchel
97529804,piso,piso en venta en san pascual,0-EU-ES-28-07-001-079-15,595000,139.0,0,4,2,1,1,1,1,1,0,0,['Lujo'],Calefacción individual: Gas natural,exterior,planta 1ª,Ciudad Lineal
